view,real_dets,render_dets,matched,real_conf_mean,render_conf_mean
00000.png,12,12,12,0.21773652732372284,0.2244044542312622
00001.png,11,11,11,0.23408174514770508,0.23394274711608887
00002.png,12,11,11,0.23451560735702515,0.24250173568725586
00003.png,14,13,13,0.2082873284816742,0.2072329819202423
00004.png,15,14,14,0.20074708759784698,0.19726024568080902
00005.png,11,11,11,0.19973064959049225,0.19660964608192444
00006.png,12,12,12,0.1850450187921524,0.18827621638774872
00007.png,10,9,9,0.17743639647960663,0.18841710686683655
00008.png,9,9,8,0.18578171730041504,0.1859910637140274
00009.png,11,11,10,0.1915089637041092,0.19637109339237213
00010.png,8,8,8,0.25297388434410095,0.2396768033504486
00011.png,7,7,7,0.18771684169769287,0.17807282507419586
00012.png,9,8,8,0.17533093690872192,0.18024244904518127
00013.png,7,8,6,0.16969728469848633,0.13745538890361786
00014.png,6,6,5,0.1839098185300827,0.17496834695339203
00015.png,5,5,5,0.23320332169532776,0.22257089614868164
00016.png,6,4,4,0.14737510681152344,0.14038121700286865
00017.png,5,3,3,0.15209437906742096,0.12621217966079712
00018.png,4,3,3,0.16061390936374664,0.12773410975933075
00019.png,3,3,3,0.18298612534999847,0.15366601943969727
00020.png,3,2,2,0.15537811815738678,0.16576489806175232
00021.png,2,1,1,0.1582726687192917,0.1754537671804428
00022.png,2,1,1,0.13373792171478271,0.1339024305343628
00023.png,3,3,3,0.1543007493019104,0.14425082504749298
